model,attack_type,positive_examples,auc_roc,f1,fpr,pr_auc,precision,recall
decision_tree,Analysis,621,0.9609896080899195,0.25915623551228556,0.011135430138855332,0.1616638226916926,0.15136745193609533,0.9001610305958132
decision_tree,Backdoor,623,0.9844328217174337,0.27779051111620445,0.011135430138855332,0.17135024115650113,0.1620320855614973,0.9727126805778491
decision_tree,DoS,1465,0.9611606402049537,0.4502106149957877,0.011135430138855332,0.28059004736564297,0.29888143176733784,0.9119453924914676
decision_tree,Exploits,6851,0.9658327832460647,0.7725121396520991,0.011135430138855332,0.6376540894619903,0.6672329581652156,0.9172383593635965
decision_tree,Fuzzer,4970,0.877977992527013,0.6036012750926165,0.011135430138855332,0.4015234885917709,0.5277987042338406,0.7048289738430583
decision_tree,Generic,6894,0.9886821596297732,0.8069006543723973,0.011135430138855332,0.727857726508579,0.6839451391690198,0.9837539889759211
decision_tree,Reconnaissance,3420,0.9852075773635565,0.6748887990295188,0.011135430138855332,0.4631607482077533,0.5157601977750309,0.9760233918128655
decision_tree,Shellcode,371,0.9264891320391553,0.1629979035639413,0.011135430138855332,0.059366323354441794,0.09027576197387518,0.8382749326145552
decision_tree,Worms,42,0.9575685275460365,0.023031434796140678,0.011135430138855332,0.009348724979562871,0.011668243456322927,0.8809523809523809
lstm,Analysis,621,0.9973563413398228,0.19228907888369093,0.017701567629794916,0.6799036461451198,0.10684833273574758,0.9597423510466989
lstm,Backdoor,623,0.9985013882658758,0.19629927594529364,0.017701567629794916,0.7783556450731354,0.10908440629470673,0.9791332263242376
lstm,DoS,1465,0.9962753858417048,0.36016787485692486,0.017701567629794916,0.6845503728275875,0.22131916223819945,0.9665529010238908
lstm,Exploits,6851,0.9950782506197355,0.7088925259138025,0.017701567629794916,0.822952874276245,0.5659900688213259,0.9483287111370603
lstm,Fuzzer,4970,0.9926670696282983,0.6190244917782557,0.017701567629794916,0.6515999568128665,0.4724134279360373,0.8975855130784708
lstm,Generic,6894,0.9974208783986477,0.7254775702940545,0.017701567629794916,0.8883812490476924,0.57571112246636,0.9805628082390484
lstm,Reconnaissance,3420,0.995063912146141,0.5573489010989011,0.017701567629794916,0.7095364618518071,0.3945065629557608,0.9491228070175438
lstm,Shellcode,371,0.9943687695925951,0.1240581741720694,0.017701567629794916,0.23518879700741124,0.06634182908545727,0.954177897574124
lstm,Worms,42,0.9945330408282186,0.01579778830963665,0.017701567629794916,0.07404954706591345,0.00796495420151334,0.9523809523809523
random_forest,Analysis,621,0.9986102325616311,0.30537522721371074,0.009387302625033754,0.8768612018738557,0.18204334365325078,0.9468599033816425
random_forest,Backdoor,623,0.9997382165987684,0.31874356333676623,0.009387302625033754,0.9496115938079044,0.18981907390371053,0.9935794542536116
random_forest,DoS,1465,0.999439094522432,0.5223961144090664,0.009387302625033754,0.9360445975104673,0.35466536394723985,0.9911262798634812
random_forest,Exploits,6851,0.9995271139707017,0.8336404963754761,0.009387302625033754,0.9832026446014976,0.7197411689827092,0.9903663698730112
random_forest,Fuzzer,4970,0.9946209383473567,0.6775538568450312,0.009387302625033754,0.7399130782019769,0.5961479669825741,0.7847082494969819
random_forest,Generic,6894,0.9998826465281928,0.8387018206174268,0.009387302625033754,0.9959209086436467,0.722741106097177,0.9989846243109951
random_forest,Reconnaissance,3420,0.9997705244989272,0.7208271787296898,0.009387302625033754,0.9826513388673483,0.5638824694618686,0.9988304093567252
random_forest,Shellcode,371,0.9988835110696547,0.21874076263671297,0.009387302625033754,0.6001792010458509,0.12284196547144755,0.9973045822102425
random_forest,Worms,42,0.9993134048150322,0.030091743119266056,0.009387302625033754,0.6032665213327025,0.01528140141632501,0.9761904761904762
